,I,p-value
normed_v10_s1,0.17441785939478127,0.0
normed_v10_s2,0.20030055475986253,0.0
normed_v10_s3,0.07652239381128632,0.0
normed_v10_R,0.2414409726899942,0.0
normed_v10_s12,0.49144345020421004,0.0
normed_v10_s23,0.08410066381383591,0.0
normed_v10_s13,0.3305609002145033,0.0
normed_v10_unannotated,0.21398559128331107,0.0
normed_v11_s1,0.19590572248382002,0.0
normed_v11_s2,0.16732086817136577,0.0
normed_v11_s3,-0.00023335937054928815,0.9375533659295716
normed_v11_R,0.08607025151665383,0.0
normed_v11_s12,0.18797128733720225,0.0
normed_v11_s23,0.028630778276001915,0.0
normed_v11_s13,0.11714259030260231,0.0
normed_v11_unannotated,-0.000382993968207542,0.8911458344441929
unnormed_v10_s1,0.22451605043789005,0.0
unnormed_v10_s2,0.27743094397712226,0.0
unnormed_v10_s3,0.1658765461731661,0.0
unnormed_v10_R,0.27799294620520504,0.0
unnormed_v10_s12,0.5085246660630299,0.0
unnormed_v10_s23,0.16819878227322382,0.0
unnormed_v10_s13,0.332293161419573,0.0
unnormed_v10_unannotated,0.35590724066459795,0.0
unnormed_v11_s1,0.19915237613045725,0.0
unnormed_v11_s2,0.19900840240628495,0.0
unnormed_v11_s3,0.009758648789147851,3.9689856967450865e-05
unnormed_v11_R,0.08084655130184602,0.0
unnormed_v11_s12,0.21298931069381696,0.0
unnormed_v11_s23,0.03541019773023112,0.0
unnormed_v11_s13,0.1599976080245227,0.0
unnormed_v11_unannotated,-0.0005088468958758748,0.8401946238344454
