Cluster,nMem
MIP_00004873.pdb,1
MIP_00004874.pdb,1
MIP_00004875.pdb,1
MIP_00004876.pdb,3
MIP_00004878.pdb,1
MIP_00004880.pdb,1
MIP_00004881.pdb,1
MIP_00004882.pdb,1
MIP_00004883.pdb,1
MIP_00004884.pdb,1
MIP_00004886.pdb,1
MIP_00004887.pdb,2
MIP_00004888.pdb,1
MIP_00004889.pdb,1
MIP_00004890.pdb,1
MIP_00004891.pdb,1
MIP_00004892.pdb,1
MIP_00004894.pdb,1
MIP_00004895.pdb,1
MIP_00004896.pdb,1
MIP_00004897.pdb,1
MIP_00004898.pdb,1
MIP_00004900.pdb,1
MIP_00004901.pdb,1
MIP_00004902.pdb,1
MIP_00004903.pdb,1
MIP_00004904.pdb,1
MIP_00004905.pdb,1
MIP_00004906.pdb,1
MIP_00004907.pdb,1
MIP_00004908.pdb,1
MIP_00004909.pdb,2
MIP_00004910.pdb,1
MIP_00004911.pdb,1
MIP_00004912.pdb,1
MIP_00004913.pdb,1
MIP_00004915.pdb,1
MIP_00004918.pdb,1
MIP_00004920.pdb,1
MIP_00004921.pdb,1
MIP_00004925.pdb,1
MIP_00004927.pdb,1
MIP_00004930.pdb,1
MIP_00004932.pdb,1
MIP_00004933.pdb,1
MIP_00004934.pdb,1
MIP_00004935.pdb,1
MIP_00004936.pdb,1
MIP_00004938.pdb,1
MIP_00004939.pdb,1
MIP_00004942.pdb,1
MIP_00004943.pdb,1
MIP_00004944.pdb,1
MIP_00004945.pdb,1
MIP_00004946.pdb,1
MIP_00004947.pdb,1
MIP_00004949.pdb,1
MIP_00004951.pdb,1
MIP_00004952.pdb,1
MIP_00004955.pdb,1
MIP_00004956.pdb,1
MIP_00004957.pdb,1
MIP_00004958.pdb,1
MIP_00004959.pdb,1
MIP_00004960.pdb,1
MIP_00004961.pdb,1
MIP_00004962.pdb,1
MIP_00004963.pdb,1
MIP_00004964.pdb,1
MIP_00004966.pdb,1
MIP_00004967.pdb,1
MIP_00004968.pdb,1
MIP_00004970.pdb,1
MIP_00004971.pdb,2
MIP_00004972.pdb,1
MIP_00004973.pdb,1
MIP_00004977.pdb,1
MIP_00004978.pdb,1
MIP_00004980.pdb,1
MIP_00004982.pdb,1
MIP_00004983.pdb,1
MIP_00004985.pdb,1
MIP_00004986.pdb,1
MIP_00004989.pdb,1
MIP_00004990.pdb,1
MIP_00004992.pdb,1
MIP_00004995.pdb,1
MIP_00004996.pdb,1
MIP_00004997.pdb,1
MIP_00005000.pdb,1
MIP_00005001.pdb,1
MIP_00005002.pdb,1
MIP_00005004.pdb,1
MIP_00005005.pdb,1
MIP_00005006.pdb,1
MIP_00005008.pdb,1
MIP_00005010.pdb,1
MIP_00005012.pdb,1
MIP_00005013.pdb,1
MIP_00005015.pdb,1
MIP_00005016.pdb,1
MIP_00005017.pdb,1
MIP_00005018.pdb,1
MIP_00005019.pdb,1
MIP_00005020.pdb,1
MIP_00005023.pdb,1
MIP_00005025.pdb,1
MIP_00005026.pdb,1
MIP_00005028.pdb,1
MIP_00005029.pdb,1
MIP_00005033.pdb,1
MIP_00005034.pdb,1
MIP_00005035.pdb,1
MIP_00005037.pdb,1
MIP_00005038.pdb,1
MIP_00005039.pdb,1
MIP_00005040.pdb,1
