header,Size
MIP_00004873,60
MIP_00004874,50
MIP_00004875,62
MIP_00004876,52
MIP_00013302,54
MIP_00014877,53
MIP_00004877,64
MIP_00013887,59
MIP_00004878,54
MIP_00004880,61
MIP_00004881,54
MIP_00004882,41
MIP_00004883,52
MIP_00004884,55
MIP_00004886,55
MIP_00004887,51
MIP_00010331,56
MIP_00014152,52
MIP_00004888,50
MIP_00004890,54
MIP_00004891,43
MIP_00004892,56
MIP_00004894,56
MIP_00004895,53
MIP_00004896,57
MIP_00004897,54
MIP_00004898,61
MIP_00004900,56
MIP_00004901,52
MIP_00004902,56
MIP_00004903,54
MIP_00004904,63
MIP_00004905,51
MIP_00004906,65
MIP_00004907,50
MIP_00004908,41
MIP_00004909,59
MIP_00004910,43
MIP_00004911,47
MIP_00004912,62
MIP_00004913,60
MIP_00004915,57
MIP_00004918,47
MIP_00004920,53
MIP_00004921,52
MIP_00004925,43
MIP_00004927,59
MIP_00004930,60
MIP_00004932,58
MIP_00004933,60
MIP_00004934,55
MIP_00004935,40
MIP_00004936,49
MIP_00004938,50
MIP_00004939,50
MIP_00004942,44
MIP_00004943,41
MIP_00004944,58
MIP_00004945,60
MIP_00004946,52
MIP_00004947,54
MIP_00004949,58
MIP_00004951,41
MIP_00004952,58
MIP_00004956,52
MIP_00004957,57
MIP_00004958,55
MIP_00004959,58
MIP_00004960,62
MIP_00004961,62
MIP_00004962,46
MIP_00004963,60
MIP_00004964,43
MIP_00004966,48
MIP_00004967,65
MIP_00004968,63
MIP_00004970,55
MIP_00004971,58
MIP_00009766,59
MIP_00004972,48
MIP_00004973,54
MIP_00004977,51
MIP_00004978,46
MIP_00004980,50
MIP_00004982,49
MIP_00004983,60
MIP_00004986,59
MIP_00004989,62
MIP_00004990,57
MIP_00004992,44
MIP_00004993,54
MIP_00005559,54
MIP_00008668,54
MIP_00008917,54
MIP_00009337,54
MIP_00009805,54
MIP_00009965,54
MIP_00010228,54
MIP_00013010,53
MIP_00015241,53
MIP_00015835,53
MIP_00040949,54
MIP_00141989,54
MIP_00007946,54
MIP_00011954,54
MIP_00005566,54
MIP_00005696,54
MIP_00012511,54
MIP_00014438,54
MIP_00005129,53
MIP_00004995,59
MIP_00004996,43
MIP_00004997,57
MIP_00005130,43
MIP_00005132,47
MIP_00005134,43
MIP_00005136,50
MIP_00005140,60
MIP_00005141,55
MIP_00005142,57
MIP_00005144,50
MIP_00005149,51
MIP_00005150,63
MIP_00005152,47
MIP_00005154,41
MIP_00005155,50
MIP_00005156,58
MIP_00005157,42
MIP_00005159,55
MIP_00005160,57
MIP_00005162,48
MIP_00005163,48
MIP_00005164,43
MIP_00005165,43
MIP_00005166,57
MIP_00005167,58
MIP_00005168,46
MIP_00005169,50
MIP_00005170,42
MIP_00005173,43
MIP_00005175,63
MIP_00005176,49
MIP_00005177,41
MIP_00005178,62
MIP_00005179,51
MIP_00007333,53
MIP_00008555,54
MIP_00005180,64
MIP_00005181,55
MIP_00005183,52
MIP_00005184,48
MIP_00005185,61
MIP_00005186,53
MIP_00005188,62
MIP_00005189,47
MIP_00005192,53
MIP_00005194,65
MIP_00005195,54
MIP_00005197,49
MIP_00005198,63
MIP_00005201,53
MIP_00005202,52
MIP_00005203,53
MIP_00005204,62
MIP_00005205,58
MIP_00005207,42
MIP_00005211,55
MIP_00005212,57
MIP_00005213,47
MIP_00009981,52
MIP_00009286,52
MIP_00005214,64
MIP_00005215,61
MIP_00005216,52
MIP_00005217,58
MIP_00005218,54
MIP_00005219,54
MIP_00005220,63
MIP_00005223,59
MIP_00005225,52
MIP_00005226,58
MIP_00005228,42
MIP_00005231,63
MIP_00005233,49
MIP_00005234,48
MIP_00005235,40
MIP_00005238,52
MIP_00005240,50
MIP_00005243,64
MIP_00023246,70
MIP_00005244,43
MIP_00005245,53
MIP_00005247,53
MIP_00005249,52
MIP_00005250,60
MIP_00005251,53
MIP_00005253,58
MIP_00005254,45
MIP_00005255,48
MIP_00005260,53
MIP_00005261,60
MIP_00005262,59
MIP_00005264,49
MIP_00005265,55
MIP_00005266,60
MIP_00005267,55
MIP_00005268,55
MIP_00005803,42
MIP_00005804,53
MIP_00005805,49
MIP_00005807,40
MIP_00005808,47
MIP_00005810,53
MIP_00005811,60
MIP_00005814,62
MIP_00005815,50
MIP_00005816,64
MIP_00005817,52
MIP_00005819,59
MIP_00005820,47
MIP_00005821,46
MIP_00005822,55
MIP_00005824,56
MIP_00005825,48
MIP_00005829,44
MIP_00005830,60
MIP_00005831,58
MIP_00005832,43
MIP_00005833,60
MIP_00014563,62
MIP_00015553,61
MIP_00005836,59
MIP_00005838,54
MIP_00005840,57
MIP_00005841,45
MIP_00005842,53
MIP_00005843,50
MIP_00005844,43
