,0,1,C,A,T,H,CA,C_map
6b4eA00,-6.5088224,-3.296536,1,25,40,510,1.25,Mainly Alpha
3qh6A00,2.7490478,3.3632214,3,10,129,150,3.10,Alpha Beta
2bhwA01,-5.276781,1.7045188,1,10,3460,10,1.10,Mainly Alpha
1zr6A04,2.538458,7.2881284,6,10,140,1160,6.10,Special
3cniA00,2.017758,2.8914657,3,40,1710,10,3.40,Alpha Beta
4bsxA00,-3.1772532,1.7597909,1,25,40,780,1.25,Mainly Alpha
2kn8A00,0.3370928,4.6732583,6,10,250,480,6.10,Special
3p42D01,5.785842,4.5929456,3,10,20,700,3.10,Alpha Beta
2d0oA02,4.557462,1.470744,3,90,470,30,3.90,Alpha Beta
3hrgA02,3.393528,4.781323,3,30,420,260,3.30,Alpha Beta
1a73A00,5.323122,3.144272,3,90,75,10,3.90,Alpha Beta
3b4qA00,-1.710298,4.501432,1,10,1200,100,1.10,Mainly Alpha
1tx9A00,-1.1629847,2.126787,1,10,1850,10,1.10,Mainly Alpha
3qvpA03,-2.1766396,-0.7667137,3,30,560,10,3.30,Alpha Beta
1zhvA00,4.2899957,3.659351,3,30,2130,10,3.30,Alpha Beta
3hz7A00,4.2096376,4.5968513,3,30,110,40,3.30,Alpha Beta
1x6zA00,1.7993147,4.7888327,3,30,700,10,3.30,Alpha Beta
3bk3C00,6.213857,3.333082,6,20,200,20,6.20,Special
4o8hA00,4.7986674,2.211248,2,40,100,10,2.40,Mainly Beta
1wz2A05,0.873259,6.630681,1,10,10,720,1.10,Mainly Alpha
4nn5A00,-2.1229289,3.9173996,1,20,1250,90,1.20,Mainly Alpha
3wx7A02,5.482043,4.443939,2,10,10,90,2.10,Mainly Beta
4kikA03,-8.635352,-4.5506654,1,20,1270,250,1.20,Mainly Alpha
1vx2I02,7.5135665,2.4818082,3,10,290,70,3.10,Alpha Beta
3c4aA02,5.502695,3.0496886,3,30,9,20,3.30,Alpha Beta
4gdoA00,-6.4073796,3.5602708,1,20,5,580,1.20,Mainly Alpha
2kgsA01,3.0007,3.7095146,3,40,1520,20,3.40,Alpha Beta
4nzrM03,0.90561676,6.426232,3,30,110,180,3.30,Alpha Beta
2pd0D01,3.5565574,4.31671,3,30,2310,50,3.30,Alpha Beta
3v0dA02,5.741992,2.6888611,2,60,40,1110,2.60,Mainly Beta
3h0nA00,-3.0275483,1.9307396,1,10,3300,10,1.10,Mainly Alpha
4lixA02,-3.3351924,-0.7898712,1,50,10,160,1.50,Mainly Alpha
2koeA00,0.8506554,7.5736833,1,10,1220,70,1.10,Mainly Alpha
1iojA00,-0.69265807,4.856529,4,10,260,30,4.10,Few Sec. Str.
3l0mA02,-0.013706016,5.2879653,1,20,1280,280,1.20,Mainly Alpha
2x43S00,-1.28853,7.1494994,6,10,140,1430,6.10,Special
4g6uA01,1.8283551,6.713856,6,10,140,1810,6.10,Special
3r72A00,-1.8365229,3.3555112,1,10,238,20,1.10,Mainly Alpha
3frnA01,7.250762,1.1807977,3,10,129,70,3.10,Alpha Beta
3u64A00,-6.374977,-4.315965,1,25,40,920,1.25,Mainly Alpha
3lmmA02,1.4648743,6.9867744,6,10,10,130,6.10,Special
4mf5A02,-3.3396156,2.7658255,1,20,1050,10,1.20,Mainly Alpha
2p0wA01,3.3323426,3.8218832,3,90,360,10,3.90,Alpha Beta
2md0A00,2.73815,7.3649316,1,10,10,1940,1.10,Mainly Alpha
3fedA03,-5.066123,0.5510323,1,20,930,40,1.20,Mainly Alpha
3tgnA03,-3.776955,4.9858637,6,10,140,1680,6.10,Special
3r1xA02,-0.918245,1.5743253,3,30,420,310,3.30,Alpha Beta
3wajA04,6.6835027,5.1080217,2,60,40,3390,2.60,Mainly Beta
4e6zA01,4.0329494,5.5193534,3,40,1350,100,3.40,Alpha Beta
1v8cA02,4.8351235,5.983596,3,30,1370,80,3.30,Alpha Beta
3sxmA00,-4.535272,-0.6766872,1,20,120,530,1.20,Mainly Alpha
1vk1A02,4.006948,5.486439,3,30,1760,10,3.30,Alpha Beta
3vx8A02,3.0097702,4.791499,3,40,140,70,3.40,Alpha Beta
1qv9A02,-2.6005647,2.3014069,6,10,140,120,6.10,Special
3ermB00,-0.17865002,5.199301,1,10,10,710,1.10,Mainly Alpha
1t0fC00,2.7588136,6.822717,6,10,20,30,6.10,Special
4fixA01,-1.1595274,-3.0272214,3,90,550,60,3.90,Alpha Beta
4czxB00,-1.0313305,4.940161,1,10,287,3700,1.10,Mainly Alpha
4kk7A01,7.2319746,4.867857,3,30,2390,20,3.30,Alpha Beta
2v0pB00,-6.163309,-1.2513858,1,25,40,540,1.25,Mainly Alpha
1cq3A00,4.6251583,-0.6774694,2,60,240,10,2.60,Mainly Beta
3deeA02,4.6181865,4.340958,3,90,930,50,3.90,Alpha Beta
1bxoA02,6.5963497,2.7442956,2,40,70,10,2.40,Mainly Beta
3plnA02,-2.9629517,4.365896,1,20,5,100,1.20,Mainly Alpha
4k3lB02,4.7070484,2.7657456,3,10,150,10,3.10,Alpha Beta
2jwkA00,5.1577644,5.4813023,3,30,420,270,3.30,Alpha Beta
3w7tA02,-1.2438662,5.1765275,1,10,287,100,1.10,Mainly Alpha
2ccvA00,6.9755244,0.5466218,2,60,40,2080,2.60,Mainly Beta
4bgbB01,1.6964949,3.4278278,3,30,420,430,3.30,Alpha Beta
4hi8B00,3.6900678,4.858013,2,10,110,10,2.10,Mainly Beta
4ak1A02,6.8287435,3.9507134,2,30,30,1270,2.30,Mainly Beta
6az1c00,6.678858,5.284955,2,20,25,100,2.20,Mainly Beta
2vf1A02,6.2368193,5.144961,2,20,25,440,2.20,Mainly Beta
3n89A01,1.9552312,1.3384845,3,30,310,270,3.30,Alpha Beta
2z3xA00,-0.641767,6.6425962,6,10,10,80,6.10,Special
3zheB02,-4.538442,-0.44054797,1,20,190,60,1.20,Mainly Alpha
3n6rA03,5.1135964,2.9693713,3,30,700,30,3.30,Alpha Beta
