,0,1,C,A,T,H,CA,C_map
6b4eA00,6.3032813,-0.92821807,1,25,40,510,1.25,Mainly Alpha
3qh6A00,0.32829913,4.6790395,3,10,129,150,3.10,Alpha Beta
2bhwA01,4.846919,-1.0952653,1,10,3460,10,1.10,Mainly Alpha
1zr6A04,4.001143,1.7332433,6,10,140,1160,6.10,Special
3cniA00,1.0283177,4.8244624,3,40,1710,10,3.40,Alpha Beta
4bsxA00,5.77886,1.3883029,1,25,40,780,1.25,Mainly Alpha
2kn8A00,1.9047337,-0.85764015,6,10,250,480,6.10,Special
3p42D01,-2.127985,5.0641193,3,10,20,700,3.10,Alpha Beta
2d0oA02,-2.4395232,3.0770268,3,90,470,30,3.90,Alpha Beta
3hrgA02,0.19843666,4.619057,3,30,420,260,3.30,Alpha Beta
1a73A00,-3.0935009,3.3075526,3,90,75,10,3.90,Alpha Beta
3b4qA00,5.5540648,0.72327423,1,10,1200,100,1.10,Mainly Alpha
1tx9A00,3.6508415,1.3784627,1,10,1850,10,1.10,Mainly Alpha
3qvpA03,2.0335085,2.427939,3,30,560,10,3.30,Alpha Beta
1zhvA00,-1.2984009,4.471213,3,30,2130,10,3.30,Alpha Beta
3hz7A00,-0.43192372,4.828856,3,30,110,40,3.30,Alpha Beta
1x6zA00,1.3123901,3.1370723,3,30,700,10,3.30,Alpha Beta
3bk3C00,-5.368778,1.1265327,6,20,200,20,6.20,Special
4o8hA00,-1.8028097,4.964176,2,40,100,10,2.40,Mainly Beta
1wz2A05,4.9423976,2.2229471,1,10,10,720,1.10,Mainly Alpha
4nn5A00,3.9325182,0.59872913,1,20,1250,90,1.20,Mainly Alpha
3wx7A02,-2.1685803,5.98604,2,10,10,90,2.10,Mainly Beta
4kikA03,5.8075123,-4.9617186,1,20,1270,250,1.20,Mainly Alpha
1vx2I02,-4.2478323,5.964488,3,10,290,70,3.10,Alpha Beta
3c4aA02,-1.8963645,5.2139363,3,30,9,20,3.30,Alpha Beta
4gdoA00,1.8043516,-10.814648,1,20,5,580,1.20,Mainly Alpha
2kgsA01,-0.017206669,4.508816,3,40,1520,20,3.40,Alpha Beta
4nzrM03,5.159535,2.809523,3,30,110,180,3.30,Alpha Beta
